Timestamp,1. What is your gender?,2. What is your age range?,3. Which district are you from?,4. What is your occupation?,5. What is your approximate monthly household spending on products? (LKR),6. How often do you shop for products?,06. Does your cultural background influence what products you buy?,"Q07.  Clothing & Apparel
What do you mainly check before buying a clothing & apparel product?","Q08. Clothing & Apparel  
What is your main reason for buying clothing & apparel products?","Q09. Clothing & Apparel   
How much does emotional appeal (how it makes you feel) influence your purchase of clothing & apparel products?","Q10.   Beauty & Personal Care
What do you mainly check before buying a beauty & personal care product?","Q11.   Beauty & Personal Care
 What is your main reason for buying beauty & personal care products?","Q12.   Beauty & Personal Care
How much does emotional appeal (how it makes you feel) influence your purchase of beauty & personal care products?","Q13.  Electronics
What do you mainly check before buying a electronics product?","Q14.  Electronics 
What is your main reason for buying electronics products?","Q15.  Electronics
How much does emotional appeal (how it makes you feel) influence your purchase of electronics products?","Q16.   Grocery & Food
What do you mainly check before buying a grocery & food product?","Q17.    Grocery & Food
What is your main reason for buying grocery & food products?","Q18.    Grocery & Food  
  How much does emotional appeal (how it makes you feel) influence your purchase of grocery & food products?","Q19.  Baby Products 
  What do you mainly check before buying a baby products product?","Q20. Baby Products
What is your main reason for buying baby products products?","Q21.  Baby Products
How much does emotional appeal (how it makes you feel) influence your purchase of baby products products?","Q22.  Pet Products
What do you mainly check before buying a pet products product?","Q23.  Pet Products
What is your main reason for buying pet products products?","Q24.  Pet Products
How much does emotional appeal (how it makes you feel) influence your purchase of pet products products?","Q25.  Sports & Fitness
What do you mainly check before buying a sports & fitness product?","Q26.  Sports & Fitness
What is your main reason for buying sports & fitness products?","Q27.  Sports & Fitness
How much does emotional appeal (how it makes you feel) influence your purchase of sports & fitness products?"
5/28/2026 8:30,Male,18 – 24,Colombo,Student,"More than Rs. 50,000",A few times a month,"Yes, strongly",Appearance or design,It solves a specific practical problem,3,Appearance or design,It is the best value for money,4,Price and value for money,It makes me feel good or satisfied emotionally,3,Price and value for money,It is a trusted brand or widely recommended,5,Product specifications or ingredients,It is a trusted brand or widely recommended,5,Price and value for money,It is the best value for money,3,Product specifications or ingredients,It is a trusted brand or widely recommended,4
5/28/2026 8:33,Female,25 – 34,Matara,Student,"Rs. 5,000 – Rs. 15,000",A few times a month,Somewhat,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,3,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,3,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4
5/28/2026 8:38,Female,25 – 34,Anuradhapura,Private sector employee,"Rs. 15,001 – Rs. 30,000",Once a week,Somewhat,"Price and value for money, Appearance or design, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It is a trusted brand or widely recommended,5,"Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4
5/28/2026 9:18,Female,25 – 34,Colombo,Private sector employee,"Rs. 5,000 – Rs. 15,000",A few times a month,Somewhat,"Price and value for money, Appearance or design",It solves a specific practical problem,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,4,"Price and value for money, Product specifications or ingredients",It solves a specific practical problem,2,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It solves a specific practical problem,2,Price and value for money,It solves a specific practical problem,1,"Price and value for money, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,1
5/28/2026 9:19,Male,18 – 24,Colombo,Student,"Rs. 5,000 – Rs. 15,000",A few times a month,"Yes, strongly","Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,4,"Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,5,"Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5
5/28/2026 11:01,Female,18 – 24,Colombo,Private sector employee,"More than Rs. 50,000",Once a week,"No, not at all","Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,3,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5,Product specifications or ingredients,It makes me feel good or satisfied emotionally,1,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,5,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4
5/28/2026 11:05,Male,25 – 34,Colombo,Private sector employee,"More than Rs. 50,000",A few times a month,"Yes, strongly","Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,"Price and value for money, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,3,"Price and value for money, Customer reviews or ratings",It is the best value for money,3,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings",It is a trusted brand or widely recommended,4
5/28/2026 12:35,Male,25 – 34,Gampaha,Government employee,"More than Rs. 50,000",Once a week,Somewhat,"Price and value for money, Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,4,Brand name or reputation,It is a trusted brand or widely recommended,4,"Brand name or reputation, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,Product specifications or ingredients,It is a trusted brand or widely recommended,4,Recommendation from someone I trust,It is a trusted brand or widely recommended,4,Customer reviews or ratings,It makes me feel good or satisfied emotionally,4,Customer reviews or ratings,It solves a specific practical problem,4
5/28/2026 13:05,Female,25 – 34,Colombo,Student,"Rs. 15,001 – Rs. 30,000",A few times a month,"No, not at all",Brand name or reputation,It is a trusted brand or widely recommended,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,3,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Appearance or design, Recommendation from someone I trust",It is a trusted brand or widely recommended,5
5/28/2026 17:49,Male,18 – 24,Colombo,Student,"More than Rs. 50,000",A few times a month,Somewhat,"Price and value for money, Appearance or design",It solves a specific practical problem,4,"Price and value for money, Product specifications or ingredients",It solves a specific practical problem,3,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,4,"Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,Product specifications or ingredients,It is a trusted brand or widely recommended,2,"Price and value for money, Product specifications or ingredients",It solves a specific practical problem,2,"Price and value for money, Brand name or reputation, Appearance or design",It is the best value for money,4
6/13/2026 8:23,Female,25 – 34,Batticaloa,Government employee,"Rs. 5,000 – Rs. 15,000",Once a month or less,Somewhat,"Product specifications or ingredients, Brand name or reputation",It is the best value for money,3,"Brand name or reputation, Product specifications or ingredients, Price and value for money, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,"Customer reviews or ratings, Price and value for money",It makes me feel good or satisfied emotionally,3,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It is a trusted brand or widely recommended,2,"Product specifications or ingredients, Customer reviews or ratings, Appearance or design, Price and value for money",It solves a specific practical problem,1,"Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,5,"Product specifications or ingredients, Brand name or reputation, Appearance or design, Customer reviews or ratings, Price and value for money",It is a trusted brand or widely recommended,5
5/30/2026 22:20,Female,18 – 24,Anuradhapura,Other,"Rs. 30,001 – Rs. 50,000",Daily,Somewhat,"Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Product specifications or ingredients",It solves a specific practical problem,5,"Price and value for money, Product specifications or ingredients, Brand name or reputation",It solves a specific practical problem,3,"Product specifications or ingredients, Customer reviews or ratings, Brand name or reputation",It is the best value for money,4,"Brand name or reputation, Price and value for money, Customer reviews or ratings",It is the best value for money,4,"Brand name or reputation, Appearance or design",It is the best value for money,5,"Recommendation from someone I trust, Appearance or design, Price and value for money",It solves a specific practical problem,3
5/13/2026 7:52,Male,18 – 24,Trincomalee,Private sector employee,"Rs. 5,000 – Rs. 15,000",A few times a month,"Yes, strongly","Appearance or design, Brand name or reputation, Product specifications or ingredients",It is a trusted brand or widely recommended,2,"Product specifications or ingredients, Customer reviews or ratings, Price and value for money",It solves a specific practical problem,2,"Product specifications or ingredients, Price and value for money",It solves a specific practical problem,4,"Customer reviews or ratings, Price and value for money",It is a trusted brand or widely recommended,4,"Brand name or reputation, Price and value for money, Appearance or design",It solves a specific practical problem,4,"Brand name or reputation, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,4
6/1/2026 22:47,Male,55 and above,Ampara,Other,"Less than Rs. 5,000",A few times a month,"Yes, strongly","Price and value for money, Product specifications or ingredients, Recommendation from someone I trust, Brand name or reputation, Appearance or design",It is a trusted brand or widely recommended,3,"Customer reviews or ratings, Price and value for money, Product specifications or ingredients",It solves a specific practical problem,4,"Brand name or reputation, Product specifications or ingredients",It is a trusted brand or widely recommended,3,"Recommendation from someone I trust, Product specifications or ingredients",It is the best value for money,3,"Price and value for money, Recommendation from someone I trust",It is a trusted brand or widely recommended,3,"Price and value for money, Brand name or reputation",It is the best value for money,2,"Product specifications or ingredients, Appearance or design, Brand name or reputation, Price and value for money",It is the best value for money,3
5/29/2026 16:01,Female,25 – 34,Galle,Self-employed / Business owner,"Rs. 15,001 – Rs. 30,000",Once a week,Somewhat,"Customer reviews or ratings, Appearance or design, Brand name or reputation, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,Product specifications or ingredients,It is a trusted brand or widely recommended,5,"Price and value for money, Customer reviews or ratings, Brand name or reputation",It is a trusted brand or widely recommended,4,"Customer reviews or ratings, Product specifications or ingredients",It solves a specific practical problem,2,"Customer reviews or ratings, Brand name or reputation",It is a trusted brand or widely recommended,3,"Product specifications or ingredients, Appearance or design, Price and value for money",It is the best value for money,3,"Brand name or reputation, Customer reviews or ratings, Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,2
6/1/2026 8:26,Female,25 – 34,Kilinochchi,Other,"Rs. 15,001 – Rs. 30,000",A few times a month,"Yes, strongly","Price and value for money, Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,3,"Appearance or design, Customer reviews or ratings",It solves a specific practical problem,5,"Brand name or reputation, Product specifications or ingredients",It solves a specific practical problem,3,Product specifications or ingredients,It solves a specific practical problem,3,"Brand name or reputation, Price and value for money, Customer reviews or ratings, Appearance or design",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Price and value for money",It solves a specific practical problem,1,"Brand name or reputation, Appearance or design, Price and value for money, Customer reviews or ratings",It makes me feel good or satisfied emotionally,3
6/2/2026 9:00,Female,18 – 24,Badulla,Student,"More than Rs. 50,000",Daily,"No, not at all","Customer reviews or ratings, Recommendation from someone I trust, Appearance or design",It solves a specific practical problem,4,"Customer reviews or ratings, Brand name or reputation, Product specifications or ingredients, Price and value for money",It solves a specific practical problem,5,"Brand name or reputation, Price and value for money, Recommendation from someone I trust, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,4,"Product specifications or ingredients, Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,4,"Brand name or reputation, Price and value for money, Product specifications or ingredients",It solves a specific practical problem,5,"Appearance or design, Brand name or reputation",It solves a specific practical problem,5,"Brand name or reputation, Recommendation from someone I trust, Product specifications or ingredients",It is the best value for money,4
6/2/2026 9:42,Female,35 – 44,Anuradhapura,Government employee,"Rs. 15,001 – Rs. 30,000",Several times a week,Somewhat,Appearance or design,It makes me feel good or satisfied emotionally,5,"Appearance or design, Recommendation from someone I trust, Price and value for money, Product specifications or ingredients, Brand name or reputation",It makes me feel good or satisfied emotionally,3,"Brand name or reputation, Customer reviews or ratings",It is a trusted brand or widely recommended,5,"Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients, Appearance or design",It makes me feel good or satisfied emotionally,3,"Brand name or reputation, Recommendation from someone I trust, Product specifications or ingredients, Price and value for money, Customer reviews or ratings",It makes me feel good or satisfied emotionally,3,"Customer reviews or ratings, Recommendation from someone I trust",It is the best value for money,5,"Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,3
6/1/2026 9:40,Female,18 – 24,Polonnaruwa,Student,"Rs. 5,000 – Rs. 15,000",Once a month or less,"Yes, strongly","Appearance or design, Price and value for money",It solves a specific practical problem,2,"Recommendation from someone I trust, Customer reviews or ratings, Price and value for money",It is the best value for money,5,"Customer reviews or ratings, Brand name or reputation, Product specifications or ingredients, Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,5,"Product specifications or ingredients, Brand name or reputation",It is the best value for money,4,"Customer reviews or ratings, Appearance or design",It makes me feel good or satisfied emotionally,4,Recommendation from someone I trust,It is a trusted brand or widely recommended,5,"Product specifications or ingredients, Appearance or design, Recommendation from someone I trust",It is the best value for money,5
6/1/2026 2:18,Female,45 – 54,Kilinochchi,Government employee,"Rs. 30,001 – Rs. 50,000",A few times a month,"No, not at all","Appearance or design, Brand name or reputation, Product specifications or ingredients, Price and value for money, Customer reviews or ratings",It solves a specific practical problem,3,"Brand name or reputation, Product specifications or ingredients, Appearance or design",It solves a specific practical problem,1,"Price and value for money, Brand name or reputation, Customer reviews or ratings",It solves a specific practical problem,4,"Price and value for money, Customer reviews or ratings, Brand name or reputation, Appearance or design",It is the best value for money,1,"Customer reviews or ratings, Product specifications or ingredients, Recommendation from someone I trust, Brand name or reputation, Price and value for money",It is the best value for money,5,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,2,"Appearance or design, Customer reviews or ratings",It is the best value for money,1
5/29/2026 22:55,Female,25 – 34,Mannar,Self-employed / Business owner,"Rs. 30,001 – Rs. 50,000",Several times a week,"Yes, strongly",Price and value for money,It is the best value for money,3,"Recommendation from someone I trust, Product specifications or ingredients, Appearance or design",It solves a specific practical problem,4,"Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,4,"Appearance or design, Recommendation from someone I trust, Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients, Price and value for money",It is the best value for money,1,"Appearance or design, Product specifications or ingredients, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,3,"Customer reviews or ratings, Appearance or design",It makes me feel good or satisfied emotionally,3,"Price and value for money, Customer reviews or ratings, Appearance or design",It is the best value for money,2
6/2/2026 8:22,Female,18 – 24,Trincomalee,Student,"Less than Rs. 5,000",A few times a month,Somewhat,"Brand name or reputation, Product specifications or ingredients, Price and value for money, Customer reviews or ratings",It makes me feel good or satisfied emotionally,5,"Customer reviews or ratings, Price and value for money",It is the best value for money,5,"Customer reviews or ratings, Price and value for money, Product specifications or ingredients, Brand name or reputation",It solves a specific practical problem,1,"Price and value for money, Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients, Recommendation from someone I trust",It is the best value for money,4,"Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,5,Product specifications or ingredients,It makes me feel good or satisfied emotionally,4,"Appearance or design, Customer reviews or ratings",It solves a specific practical problem,5
5/29/2026 10:58,Male,35 – 44,Kalutara,Self-employed / Business owner,"Rs. 30,001 – Rs. 50,000",Several times a week,Somewhat,"Appearance or design, Customer reviews or ratings, Brand name or reputation",It is a trusted brand or widely recommended,5,"Appearance or design, Customer reviews or ratings",It is the best value for money,4,"Product specifications or ingredients, Price and value for money, Appearance or design, Brand name or reputation",It makes me feel good or satisfied emotionally,3,"Appearance or design, Product specifications or ingredients, Brand name or reputation, Customer reviews or ratings",It solves a specific practical problem,5,"Appearance or design, Price and value for money",It is a trusted brand or widely recommended,4,Price and value for money,It is a trusted brand or widely recommended,4,"Brand name or reputation, Customer reviews or ratings, Appearance or design",It makes me feel good or satisfied emotionally,2
5/31/2026 18:02,Female,25 – 34,Anuradhapura,Private sector employee,"Rs. 5,000 – Rs. 15,000",A few times a month,"Yes, strongly","Brand name or reputation, Price and value for money, Appearance or design, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4,"Product specifications or ingredients, Price and value for money, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,3,Customer reviews or ratings,It is the best value for money,4,Brand name or reputation,It is a trusted brand or widely recommended,4,"Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust, Price and value for money",It is a trusted brand or widely recommended,4,"Recommendation from someone I trust, Price and value for money, Brand name or reputation, Appearance or design",It solves a specific practical problem,1,"Product specifications or ingredients, Appearance or design",It is a trusted brand or widely recommended,5
